1345950560554, Start init function
1345950560557, Start hlinks desktop fix
1345950560558, End hlinks desktop fix
1345950560558, Start AJAX in of content
1345950560579, Done AJAX in of content
1345950560657, Start theme init
1345950560658, Start navcurrent
1345950560664, End navcurrent
1345950560665, End theme init
1345950560665, Start DOM swarm
1345950560666, End DOM swarm
1345950560666, Start poly and dep array push
1345950560666, End poly and dep array push
1345950560666, Start polyload
1345950560667, End polyload
1345950560667, Polyfill init start
1345950560667, Polyfill init end
1345950560667, Polyfill dependency push start
1345950560667, Polyfill dependency push end
1345950560686, Start polyload
1345950560686, End polyload
1345950560686, Start polyfill depend init
1345950560686, End polyfill depend init
1345950560686, Start plugin calls
1345950560687, Start menubar plugin call
1345950560737, End menubar plugin call
1345950560737, Start footnotes plugin call
1345950560739, End footnotes plugin call, (2ms execution time)
1345950560739, End plugin calls
1345950560739, Start global plugin calls
1345950560741, End global plugin calls



Cached:
1345950608927, Start init function
1345950608931, Start hlinks desktop fix
1345950608932, End hlinks desktop fix
1345950608932, Start AJAX in of content
1345950608935, Done AJAX in of content
1345950608996, Start theme init
1345950608997, Start navcurrent
1345950608998, End navcurrent
1345950608998, End theme init
1345950608999, Start DOM swarm
1345950609000, End DOM swarm
1345950609000, Start poly and dep array push
1345950609000, End poly and dep array push
1345950609000, Start polyload
1345950609001, End polyload
1345950609001, Polyfill init start
1345950609001, Polyfill init end
1345950609001, Polyfill dependency push start
1345950609001, Polyfill dependency push end
1345950609039, Start polyload
1345950609039, End polyload
1345950609039, Start polyfill depend init
1345950609039, End polyfill depend init
1345950609039, Start plugin calls
1345950609039, Start menubar plugin call
1345950609051, End menubar plugin call
1345950609051, Start footnotes plugin call
1345950609052, End footnotes plugin call, (1ms execution time)
1345950609052, End plugin calls
1345950609052, Start global plugin calls
1345950609055, End global plugin calls